Id,City,Country,Continent,Season,Year,Opening,Closing
1,Athens,Greece,Europe,Summer,1896,6-Apr-1896,15-Apr-1896
2,Paris,France,Europe,Summer,1900,14-May-00,28-Oct-00
3,St. Louis,United States,North America,Summer,1904,01-Jul-04,23-Nov-04
4,London,United Kingdom,Europe,Summer,1908,27-Apr-08,31-Oct-08
5,Stockholm,Sweden,Europe,Summer,1912,06-Jul-12,22-Jul-12
6,Antwerp,Belgium,Europe,Summer,1920,14-Aug-20,12-Sep-20
7,Chamonix,France,Europe,Winter,1924,25-Jan-24,05-Feb-24
8,Paris,France,Europe,Summer,1924,05-Jul-24,27-Jul-24
9,St. Moritz,Switzerland,Europe,Winter,1928,11-Feb-28,19-Feb-28
10,Amsterdam,Netherlands,Europe,Summer,1928,28-Jul-28,12-Aug-28
11,Lake Placid,United States,North America,Winter,1932,04-Feb-32,15-Feb-32
12,Los Angeles,United States,North America,Summer,1932,30-Jul-32,14-Aug-32
13,Garmisch-Partenkirchen,Germany,Europe,Winter,1936,06-Feb-36,16-Feb-36
14,Berlin,Germany,Europe,Summer,1936,01-Aug-36,16-Aug-36
15,St. Moritz,Switzerland,Europe,Winter,1948,30-Jan-48,08-Feb-48
16,London,United Kingdom,Europe,Summer,1948,29-Jul-48,14-Aug-48
17,Oslo,Norway,Europe,Winter,1952,14-Feb-52,25-Feb-52
18,Helsinki,Finland,Europe,Summer,1952,19-Jul-52,03-Aug-52
19,Cortina d'Ampezzo,Italy,Europe,Winter,1956,26-Jan-56,05-Feb-56
20,Melbourne,Australia,Oceania,Summer,1956,22-Nov-56,08-Dec-56
21,Stockholm,Sweden,Europe,Summer,1956,10-Jun-56,17-Jun-56
22,Palisades Tahoe,United States,North America,Winter,1960,18-Feb-60,28-Feb-60
23,Rome,Italy,Europe,Summer,1960,25-Aug-60,11-Sep-60
24,Innsbruck,Austria,Europe,Winter,1964,29-Jan-64,09-Feb-64
25,Tokyo,Japan,Asia,Summer,1964,10-Oct-64,24-Oct-64
26,Grenoble,France,Europe,Winter,1968,06-Feb-68,18-Feb-68
27,Mexico City,Mexico,North America,Summer,1968,12-Oct-68,27-Oct-68
28,Sapporo,Japan,Asia,Winter,1972,03-Feb-72,13-Feb-72
29,Munich,West Germany,Europe,Summer,1972,26-Aug-72,11-Sep-72
30,Innsbruck,Austria,Europe,Winter,1976,04-Feb-76,15-Feb-76
31,Montreal,Canada,North America,Summer,1976,17-Jul-76,01-Aug-76
32,Lake Placid,United States,North America,Winter,1980,13-Feb-80,24-Feb-80
33,Moscow,Soviet Union,Europe,Summer,1980,19-Jul-80,03-Aug-80
34,Sarajevo,Yugoslavia,Europe,Winter,1984,07-Feb-84,19-Feb-84
35,Los Angeles,United States,North America,Summer,1984,28-Jul-84,12-Aug-84
36,Calgary,Canada,North America,Winter,1988,13-Feb-88,28-Feb-88
37,Seoul,South Korea,Asia,Summer,1988,17-Sep-88,02-Oct-88
38,Albertville,France,Europe,Winter,1992,08-Feb-92,23-Feb-92
39,Barcelona,Spain,Europe,Summer,1992,25-Jul-92,09-Aug-92
40,Lillehammer,Norway,Europe,Winter,1994,12-Feb-94,27-Feb-94
41,Atlanta,United States,North America,Summer,1996,19-Jul-96,04-Aug-96
42,Nagano,Japan,Asia,Winter,1998,07-Feb-98,22-Feb-98
43,Sydney,Australia,Oceania,Summer,2000,15-Sep-00,01-Oct-00
44,Salt Lake City,United States,North America,Winter,2002,08-Feb-02,24-Feb-02
45,Athens,Greece,Europe,Summer,2004,13-Aug-04,29-Aug-04
46,Turin,Italy,Europe,Winter,2006,10-Feb-06,26-Feb-06
47,Beijing,China,Asia,Summer,2008,08-Aug-08,24-Aug-08
48,Vancouver,Canada,North America,Winter,2010,12-Feb-10,28-Feb-10
49,London,United Kingdom,Europe,Summer,2012,27-Jul-12,12-Aug-12
50,Sochi,Russia,Europe,Winter,2014,07-Feb-14,23-Feb-14
51,Rio de Janeiro,Brazil,South America,Summer,2016,05-Aug-16,21-Aug-16
52,Pyeongchang,South Korea,Asia,Winter,2018,09-Feb-18,25-Feb-18
53,Tokyo,Japan,Asia,Summer,2020,23-Jul-21,08-Aug-21
54,Beijing,China,Asia,Winter,2022,04-Feb-22,20-Feb-22
55,Paris,France,Europe,Summer,2024,26-Jul-24,11-Aug-24
56,Milan–Cortina d'Ampezzo,Italy,Europe,Winter,2026,06-Feb-26,22-Feb-26
57,Los Angeles,United States,North America,Summer,2028,21-Jul-28,06-Aug-28
58,Brisbane,Australia,Oceania,Summer,2032,23-Jul-32,08-Aug-32